Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
1, CHN, SW, 10.61.36.100, 1, 1, 1,DUT 10.61.36.5 GibitEthernet1/0/1
(Directly Connect to H3C DUT Port1: 150.25.0.1/24), PhysicalPortGroup 2183, UP, 3.60.0880, OWNERSHIP_STATE_RESERVED, BEJ-YPZhuDell, ypzhu, Mon Oct 25 16:05:37 2010,None,2010-10-26 04:52:00
2, CHN, SW, 10.61.36.100, 1, 1, 2,SPIRENT 10.61.36.100//1/4
(Back to Back Connection), PhysicalPortGroup 2183, UP, 3.60.0880, OWNERSHIP_STATE_RESERVED, BEJ-YPZhuDell, ypzhu, Mon Oct 25 16:05:37 2010,None,2010-10-26 04:52:00
3, CHN, SW, 10.61.36.100, 1, 2, 3,DUT 10.61.36.100 GibitEthernet1/0/13
(Directly Connect to H3C DUT Port13:150.27.0.1/24), PhysicalPortGroup 2184, UP, 3.60.0880, OWNERSHIP_STATE_RESERVED, BEJ-YPZhuDell, ypzhu, Mon Oct 25 16:05:37 2010,None,2010-10-26 04:52:00
4, CHN, SW, 10.61.36.100, 1, 2, 4,SPIRENT 10.61.36.100//1/2
(Back to Back Connection), PhysicalPortGroup 2184, UP, 3.60.0880, OWNERSHIP_STATE_RESERVED, BEJ-YPZhuDell, ypzhu, Mon Oct 25 16:05:37 2010,None,2010-10-26 04:52:00
5, CHN, SW, 10.61.36.100, 1, 3, 5,DUT 10.61.36.5 GibitEthernet1/0/5
(Directly Connect to H3C DUT Port5: VlanID->500, 150.1.0.1/16), PhysicalPortGroup 2185, UP, 3.60.0880, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
6, CHN, SW, 10.61.36.100, 1, 3, 6,SPIRENT 10.61.36.100//1/8
(Back to Back Connection), PhysicalPortGroup 2185, UP, 3.60.0880, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
7, CHN, SW, 10.61.36.100, 1, 4, 7,DUT 10.61.36.5 GibitEthernet1/0/7
(Directly Connect to H3C DUT Port7: VlanID->700, 170.1.0.1/16), PhysicalPortGroup 2186, UP, 3.60.0880, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
8, CHN, SW, 10.61.36.100, 1, 4, 8,SPIRENT 10.61.36.100//1/6
(Back to Back Connection), PhysicalPortGroup 2186, UP, 3.60.0880, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
